UN Chief Says There Is No Military Solution in Syria	Șeful ONU declară că nu există soluții militare în Siria
When Clinton's supporters are asked in an open-ended question why they want her to be the nominee, the top answer is that she has the right experience (16 percent), followed by it's time for a woman president (13 percent), and that she is the best candidate for the job (10 percent).	Atunci când susținătorilor lui Clinton li se adresează o întrebare deschisă referitor la motivul pentru care ar dori ca ea să câștige cursa, răspunsul majoritar este că deține experiența adecvată (16%), urmat de faptul că a venit momentul ca o femeie să fie președinte (13%) și că este cel mai bun candidat pentru această funcție (10%).
Also mentioned by Clinton supporters is her association with Bill Clinton (9 percent).	Susținătorii lui Clinton menționează și asocierea ei cu Bill Clinton (9%).
Agreement on the issues, and electability are also cited.	Se menționează de asemenea acordul asupra acestor aspecte și eligibilitate.
As the vice president weighs a potential run for president, 57 percent of Democratic primary voters would like to see him jump in the race - although a third don't think he should.	Având în vedere că vicepreședintele ia în calcul o posibilă candidatură la președinție, 57% dintre alegătorii democrați și-ar dori să îl vadă în cursă - deși o treime cred că nu ar trebui să candideze.
When Democratic primary voters are asked who would be their second choice for the party's nomination, Biden is the top pick.	La întrebarea privind a doua opțiune pentru reprezentantul partidului, alegătorii democrați îl numesc majoritar pe Biden.
Among Clinton supporters, more than half say Biden would be their second choice, far ahead of Sanders.	Dintre susținătorii lui Clinton, mai mult de jumătate afirmă că Biden ar fi a doua opțiune, mult înaintea lui Sanders.
If Biden chooses not to run for the Democratic nomination, Hillary Clinton's lead over Sanders widens, from 20 points with Biden in the race to 30 points without him in the running.	Dacă Biden decide să nu candideze în cursa din partidul Democrat, avantajul lui Hillary Clinton în fața lui Sanders crește, de la 20 puncte cu Biden în cursă la 30 puncte dacă acesta nu candidează.
Fifty-five percent of Democratic voters see Clinton as the candidate with the best chance of winning the general election; however that figure is down from 78 percent last month.	55% dintre alegătorii democrați o consideră pe Clinton candidatul cu cele mai mari șanse să câștige alegerile generale; însă cifrele au scăzut de la 78% cât erau luna trecută.
Biden is a distant second on this measure, but the percentage that sees him as the most electable has risen.	Biden se află la distanță pe locul doi însă procentul conform căruia este cel mai eligibil a crescut.
Still, when asked which is more important in a nominee, Democratic voters pick issues over electability.	Cu toate acestea, atunci când sunt întrebați ce este cel mai important la un candidat ales, alegătorii democrați preferă problemele în locul eligibilității.
Similar to last month, no single Democratic candidate or potential candidate stands out as unacceptable as the nominee to these primary voters.	La fel ca luna trecută, niciun candidat democrat sau posibil candidat nu este considerat de către acești alegători ca fiind inacceptabil ca reprezentant al partidului în cursa prezidențială.
The Democratic candidates, or potential candidates, perform well on some key characteristics among their party's primary voters.	Candidații democrați sau posibilii candidați se descurcă bine în ceea ce privește câteva caracteristici cheie față de alegătorii primari ai partidului lor.
Majorities see Clinton, Sanders and Biden as honest and trustworthy and as having strong leadership qualities.	Majoritatea alegătorilor îi consideră pe Clinton, Sanders și Biden ca fiind integri și de încredere și având calități solide de lideri.
Biden does the best of the three on honesty, while Clinton's strength is leadership.	Biden este văzut cel mai bine dintre toți trei în ceea ce privește integritatea, în timpul ce punctul forte al lui Clinton este leadership-ul.
Thirty percent of Democratic primary voters don't think Clinton is honest and trustworthy, twice as many as say that about Sanders (15 percent), but 27 percent don't have an opinion of him on this.	30% dintre alegătorii democrați nu cred că H. Clinton este integră și de încredere, de două ori mai mulți decât cei care declară acest lucru despre Sanders (15%), însă 27% nu au o părere despre el în acest sens.
Democratic primary voters also generally see Clinton, Sanders and Biden as in line with their views ideologically.	Alegătorii democrați consideră de asemenea în general că cei trei, Clinton, Sanders și Biden, au aceleași ideologii ca și ei.
On all of these measures, about a quarter of Democratic voters do not have an opinion of Sanders.	Referitor la toate aceste aspecte, aproximativ un sfert dintre alegătorii democrați nu au o părere despre Sanders.
As questions continue about Hillary Clinton's use of a personal email address and server while Secretary of State, most Democratic primary voters are satisfied with her explanation of the matter and say it hasn't impacted their overall views of her.	Cum întrebările persistă referitor la utilizarea unei adrese personale de email și a unui server de către Hillary Clinton pe când era Secretar de Stat, majoritatea alegătorilor democrați sunt mulțumiți de explicația acesteia privind subiectul și spun că nu le-a afectat părerea generală față de candidat.
But it's a different story among the American public overall.	Însă lucrurile stau altfel în rândul publicului american.
Half of Americans are now dissatisfied with her explanation, while just about a third are satisfied.	Jumătate dintre americani sunt nemulțumiți acum de explicația ei, în timp ce doar aproape o treime sunt mulțumiți.
The public's views on this were split back in March, shortly after the issue came to light.	Opinia publică s-a împărțit în martie referitor la acest subiect, la scurt timp după ce chestiunea a ieșit la iveală.
Most Americans say the email controversy has had no effect on their overall opinions of Clinton, although 36 percent say their opinion of her has grown worse.	Majoritatea americanilor declară că respectiva controversă legată de email nu le-a afectat părerea generală despre Clinton, deși 36% declară că și-au schimbat părerea în sens negativ.
It is mainly Republicans, more than six in 10, who say their views of Clinton have become worse.	În principal republicanii, mai mult de șase din 10, declară că și-au schimbat părerea despre Clinton în sens negativ.
Even though Clinton is viewed as honest and trustworthy by her party's voters, this continues to be a problem for her among registered voters overall: only 32 percent see her as honest and trustworthy, down eight points from last month, and 15 points since May.	Deși alegătorii democrați o consideră pe Clinton integră și de încredere, acest aspect continuă să îi ridice probleme în rândul alegătorilor la nivel general: doar 32% o consideră integră și de încredere, cu 8% mai puțini decât luna trecută și cu 15% mai puțini decât în mai.
Sixty-two percent of registered voters don't think of her as honest and trustworthy.	62% dintre alegători nu o consideră integră și de încredere.
At the same time, 55 percent of registered voters nationwide don't see Trump as honest and trustworthy either.	În același timp, 55% dintre alegătorii de la nivel național nu îl consideră pe Trump integru și demn de încredere.
Both Clinton and Trump, however, get good marks on leadership.	Totuși, atât Clinton cât și Trump au bile albe pentru leadership.
Of the six candidates tested, Biden, Carson and Bush do the best on honesty.	Dintre cei șase candidați evaluați, Biden, Carson și Bush se clasifică primii în ceea ce privește integritatea.
More see Sanders as honest than not, but like Carson, many don't have an opinion of him.	Numărul celor care îl consideră pe Sanders integru este mai mare decât cei care nu sunt de aceeași părere însă, ca și în cazul lui Carson, mulți nu au o părere despre el.
