Civil rights group issues travel warning for Missouri	Hnutí za občanská práva vydalo cestovní výstrahu pro Missouri
Now Trump's White House is targeting the Statue of Liberty	Terčem Trumpova Bílého domu je nyní Socha Svobody
The surest mark of regime change is when they start attacking the statues.	Neklamnou známkou změny režimu je kritika soch.
Americans appreciate this as well as anyone - hence the carefully stage-manged toppling of Saddam Hussein in Firdos square in Baghdad in 2003.	Američané by o tom mohli vyprávět stejně dobře jako všichni ostatní - viz pečlivě zinscenované svrhnutí sochy Saddáma Husajna na bagdádském náměstí Firdos v roce 2003.
Stephen Miller, one of the key ideologues of the Trump regime, surely knew what he was doing when he took a symbolic axe to the Statue of Liberty in a heated argument with CNN's Jim Acosta over the president's proposals to drastically limit legal immigration.	Stephen Miller, jeden z klíčových zastánců Trumpova režimu, jistě věděl, k čemu se schyluje, když při vášnivé debatě s reportérem CNN Jimem Acostou na téma prezidentových návrhů k drastickému omezení legálních přistěhovalců vyrazil se symbolickou sekerou na Sochu Svobody.
In fairness, Miller did not attack the statue itself.	Sluší se dodat, že Miller nezaútočil na sochu jako takovou.
A horde of boat-trip owners and Liberty impersonators would have lynched him if he did.	Za to by ho zlynčoval dav majitelů výletních lodí a imitátorů Sochy Svobody.
But he did attack its meaning, and in particular the meaning ascribed to it when Emma Lazarus's famous poem was added to its base in 1903, 17 years after the monument itself was completed.	Zaútočil však na její význam, konkrétně na fakt, že v roce 1903 byla na podstavec umístěna plaketa se slavnou básní Emmy Lazarus, a to až 17 let po dokončení monumentu.
As Miller scolded Acosta: "I don't want to get off into a whole thing about history here, but the Statue of Liberty is ... a symbol of American liberty lighting the world.	Miller pokáral Acostu slovy: „Nechci se tady pouštět do historie, ale Socha Svobody je... symbol americké svobody, který vrhá světlo na celý svět.
The poem that you're referring to, that was added later and is not part of the original Statue of Liberty."	Báseň, která byla na podstavec umístěna dodatečně, a na kterou odkazujete, není její součástí.“
Miller is factually correct, but as he put it himself, this is not really about history.	Miller má fakticky pravdu, ale jak sám uvedl, tady nejde o historii.
It is about the contemporary resonance of Lazarus's startling words, the only ones in which a state has appeared to invite not just any old immigrants, but the poorest of the poor: "Your tired, your poor, / Your huddled masses yearning to breathe free, / The wretched refuse of your teeming shore."	Jedná se především o zarážející slova Emmy Lazarus, která rezonují dnešní dobou - zve jimi nejen imigranty, ale ty nejchudší z nejchudších:„Nechť ke mně jde, kdo kles,kdo chud, kdo volně dýchat sotva smí, kdo bídným červem vprostřed plných měst.“
There has never been a time when the "wretched refuse" has been more visible on our screens.	A právě v moderní době můžeme lépe než kdy jindy sledovat tyto „bídné červy“ na našich obrazovkách.
Miller was not engaging in literary criticism - he was making it clear that these people are not welcome in Trump's USA.	Miller se nesnažil o kritiku poezie - chtěl objasnit, že tito lidé nejsou v USA vítáni.
This conflict about the meaning of a statue is part of a wider political and cultural war: it is really a conflict about the meaning of America.	Tento konflikt o významu sochy je součástí obsáhlé politické a kulturní války: je to v podstatě konflikt o významu Ameriky.
Lazarus - and her friends who campaigned to place her words at the base after her death - knew very well that they were engaging in a highly political act.	Emma Lazarus, stejně jako její přátelé, kteří po její smrti usilovali o zasazení plakety s básní na podstavec sochy, dost dobře věděli, že se pouští do vysoké politické hry.
The sculpture was intended to mark the connections between French and American republicanism by representing in a well-worn classical trope, the female embodiment of Liberty.	Socha měla vyjadřovat spojení francouzské a americké republikánské vlády tím, že by reprezentovala klasické téma, tedy ženské ztělesnění svobody.
Lazarus changed that meaning: in her poem the female figure is no longer abstract - she has a voice.	Emma Lazarus tento význam pozměnila: v její básni není ženská postava abstraktní, ale má svůj vlastní hlas.
And she gives herself a very different name: Mother of Exiles.	Má též velmi odlišné jméno: Matka vyhnanců.
The marrying of the poem to the image is a brilliant feminist coup and a devastating attack on American nativism.	Sloučení básně s představou ženy je brilantním feministickým tahem a devastujícím útokem na americký nativismus.
And just as Lazarus changed the meaning of the statue, rightwingers have long wanted to change it back.	A stejným způsobem, jakým Emma Lazarus změnila význam sochy, se vyznavači pravice dlouho snaží o zvrácení tohoto významu.
The great loudmouth Rush Limbaugh, a kind of John the Baptist for the coming of Trump, argued in 2010 that Liberty is not inviting anyone in, but is rather an early neocon, taking the American flame out to the benighted world: "Lady Liberty is stepping forward.	Známý komentátor Rush Limbaugh - Jana Křtitel ve věci Trumpova nástupu k moci - v roce 2010 argumentoval, že Socha Svobody ve skutečnosti nikoho nezve do země, ale představuje raný neokonstruktivismus, přinášejíc americký plamen zaostalému světu: „Socha Svobody vykračuje vpřed.
She is meant to be carrying the torch of liberty from the United States to the rest of the world.	Vynáší pochodeň svobody ze Spojených států a nabízí ji zbytku světa.
The torch is not to light the way to the United States."	Pochodeň nemá osvětlovat cestu do Spojených států.“
Rather unusually, Limbaugh actually hit on something.	Limbaugh kupodivu naráží na důležitou věc.
The meaning of the statue is entirely a matter of the angle of perception.	Význam sochy záleží na úhlu pohledu.
Lazarus's great imaginative act was to see it as it would be seen by exhausted, wretched but hopeful people on the decks of ships after long and often dreadful journeys.	Emma Lazarus popisuje sochu z pohledu vyčerpaného a zatraceného cestujícího, který mnohdy po dlouhé a děsivé plavbě napříč oceánem přijíždí s nadějí v srdci do nové země.
It is literally about seeing the world from the perspective of people seeking refuge and a chance to better their lives.	Jedná se doslova o pohled na svět očima lidí, kteří hledají útočiště a šanci na lepší život.
Her statue speaks back to them the words of hope and welcome they need to hear.	Z tohoto pohledu vyjadřuje socha naději a naslouchá jejich potřebám.
And of course, this is not the perspective Miller and Trump want ever to recognise.	A to je samozřejmě perspektiva, kterou Miller ani Trump rozhodně neuznají.
Their torch is meant not to light the way, but to inflame the hatreds that are their only source of power.	Jejich pochodeň nemá osvětlovat cestu, nýbrž rozněcovat nenávist, která je jejich jediným zdrojem moci.
World Championships 2017: Neil Black praises Scottish members of Team GB	Mistrovství světa v atletice 2017: Neil Black pěje chválu na skotské členy britského týmu
Eilidh Doyle recalls a time when only two Scots made the GB team	Eilidh Doyleová vzpomíná na doby, kdy měl britský tým pouze dva skotské členy
UK Athletics' performance director Neil Black says the 16-strong Scottish contingent in the World Championships squad will make "a massive contribution to the team."	Ředitel atletické federace Spojeného království Neil Black uvedl, že silná skvadra 16 Skotů v týmu Mistrovství světa bude „obrovským přínosem pro tým“.
