This is perfectly illustrated by the UKIP numbties banning people with HIV.	Les demeurés de UKIP qui refusent ceux qui vivent avec le VIH sont un exemple parfait.
Unfortunately the truth is different from your delusion.	Malheureusement la vérité ne correspond pas à votre fantasme.
The medical staff would like to administer it, but are hamstrung by the law as determined by the politicians.	Le personnel médical voudrait pouvoir s'en servir, mais ils ont les mains liées par la loi telle qu'écrite par les politiques.
It's the same situation as for the drug to medically induce abortions rather than having risky surgical procedures, safe injecting rooms for drug addicts rather than having them on the streets etc.	C'est la même situation que pour le produit qui provoque des avortements médicaux plutôt que d'avoir des interventions chirurgicales risquées, les salles de shoot sécurisées pour les toxicomanes plutôt que de les avoir dans les rues, etc.
The politicians pander to the uneducated masses on these issues.	Sur ces questions les politiciens veulent faire plaisir aux masses incultes.
By the way, doctors do not make money from drugs.	Au fait, les médecins ne gagnent pas d'argent avec les médicaments.
That's why pharmacists exist.	C'est pour ça qu'il y a des pharmaciens.
doctors do not make money from drugs Considering the Liberals want to transform our medical system into the US system, you need to read up on how it works.	les médecins ne gagnent pas d'argent avec les médicaments Vu que les Libéraux veulent que notre système de santé ressemble à celui des États-Unis, vous devriez vous renseigner sur comment ça fonctionne.
Doctors are courted similarly world-wide, but with different degrees of visibility.	Partout dans le monde les médecins sont courtisés de la même manière, mais c'est plus ou moins visible.
The OP may have phrased it poorly with blame on the medicos side, but reality is that many countries, Australia included, give preference to company profits and "research".	C'était peut-être mal formulé de mettre la faute sur les toubibs, mais la réalité c'est que de nombreux pays, dont l'Australie, donnent la priorité aux bénéfices des entreprises et à la « recherche ».
Read up on the relatively few reports on our PBS costs and negotiations with the drug companies as compared to other countries.	Lisez donc les quelques rares rapports sur nos dépenses de Pharmaceutical Benefits Scheme et sur les négociations avec les compagnies pharmaceutiques par rapport aux autres pays.
Compare world-wide prices of drugs, that are all over the place, as well as the differences on what is OTC versus script only from country to country.	Comparer les prix mondiaux de médicaments présents partout, ainsi que les différences d'un pays à l'autre sur ce qui est en vente libre ou seulement sur ordonnance.
That reinforces it is a political and business process, not a medical or scientific process, whether direct or indirect.	Cela se renforce c'est un processus politique et économique, pas un processus médical ou scientifique, direct ou indirect.
Actually there are companies running trials on Marijuana sprays for oncology pain right now, despite onerous and inhibiting laws and permits being required.	En fait certaines entreprises font en ce moment même des essais sur les inhalations de marijuana contre les douleurs oncologiques, en dépit des lois qui les freinent et des onéreux permis nécessaires.
While manufacturers of certain drugs might not be happy about alternatives such as marijuana being used, those who can get a version that delivers good quality product in known doses, will do quite nicely out of it.	Bien que les fabricants de certains médicaments risquent de ne pas être heureux qu'on utilise des alternatives telles que la marijuana, ceux qui parviennent à une version offrant des produits de bonne qualité à des doses connues en profiteront largement.
Sorry to say this Miss but your call is off, there is much going on behind the scenes when it comes to Dr's and Pharmacy.	Désolé de vous le dire madame mais vous vous trompez, il se passe beaucoup de choses dans les coulisses pour les médecins et la pharmacie.
As for this Hospital, they were happy feeding the Oil until someone had a "Whisper" in the ear of an EXEC of said Hospital.	Quant à cet hôpital, ils étaient contents de s'en servir jusqu'à ce que quelqu'un mette la puce à l'oreille d'un responsable de cet hôpital.
Cant OWN Patents on weed..	On ne peut pas DÉTENIR de brevets sur l'herbe...
If social sciences "researchers" did research instead of politics or networking, perhaps we could use their "work".	Si les « chercheurs » en sciences sociales faisaient de la recherche au lieu de faire de la politique et du réseautage, on pourrait peut être utiliser leurs « travaux ».
A researcher investigates, he does not compare one fact with another.	Un chercheur enquête, il ne compare pas un fait à un autre.
Comparing is not researching.	Comparer c’est pas chercher.
Comparing is teaching not researching.	Comparer c’est faire de la pédagogie pas de la recherche.
It is not possible to say "the research succeeded, it must be applied" and then in the same breath "it must be tested out excessively".	On ne peut pas dire « la recherche est aboutie il faut l’appliquer » et ensuite dans un même jet « il faut expérimenter à tout va ».
If you research succeeded, why test it out?	Si vos recherches sont abouties pourquoi expérimenter ?
If your research did not succeed, why do you ask that they are applied?	Si vos recherches ne sont pas abouties pourquoi demandez vous qu’on les applique ?
Can you explain to me how a piece of "research" can conclude that a pupil who cannot assimilate mathematics alone could assimilate mathematics and other subjects more easily?	Peut-on m’expliquer comment un « chercheur » peut déduire qu’un élève qui ne peut pas assimiler les mathématiques seuls pourrait assimiler plus facilement les mathématiques et d’autres matières ?
New technology makes it possible to learn provided that pupils learn to use new technology, but how do they manage to learn the new technology if they do not know how to learn?	Les nouvelles technologies permettent d’apprendre à la condition que les élèves apprennent à se servir des nouvelles technologies mais comment arriveraient ils à apprendre les nouvelles technologies s’ils ne savent pas apprendre ?
The pisa tests are only an indicator. Let's make an indicator which enables us to find indicators which are satisfactory for us.	Les tests pisa ne sont qu’un indicateur faisons un indicateur qui nous permette de trouver des indicateurs qui nous soient satisfaisants.
What is the purpose of building an indicator which informs you of what is convenient to you, a wish for self-promotion, deception?	A quoi ça sert de construire un indicateur qui vous informe de ce qui vous arrange, une volonté d’auto promotion, une tromperie ?
A single track for training teachers: move sophists and ideologues away from the training and let practitioners teach practitioners.	Une seule piste pour former les enseignants : éloigner de la formation les sophistes et les idéologues et que les praticiens enseignent aux praticiens.
fabrice reread the paragraph on placements (which unfortunately is not very well argued) and you will see that your conclusion pushes us towards the most ineffective conservatism: "It is a device which leads above all to the reproduction of current practices, and which does not enable the system to make progress".	fabrice relisez le paragraphe sur les stages (qui hélas n’est pas très argumenté) et vous verrez que votre conclusion nous pousse au conservatisme le plus inefficace : « C’est un dispositif qui conduit avant tout à la reproduction des pratiques en vigueur, et qui ne permet pas de faire progresser le système « .
Given the general consensus on the state of the French system, we cannot wish that only the practitioners teach practitioners, even if they have their place in modern teacher training.	Vu le consensus général sur l’état du système français on ne peut pas souhaiter que seuls les praticiens enseignent aux praticiens , même s’ils ont toute leur place dans une formation moderne d’enseignants
