Four members of the Kemerovo group arrested in Estonia and Spain	Eestis ja Hispaanias peeti kinni neli Kemerovo grupeeringu liiget
“I think that in memory of my friend Klimt, I am in his debt that I should make his handiwork accessible to the public;” Adele Bloch-Bauer wrote to the director of Belvedere Museum a few years after the demise of the artist (Klimt died in February 1918) and expressed the wish that their family’s Klimt collection pass to the museum.	"Arvan, et oma sõbra Klimti mäletuseks olen ma talle võlgu, et teha tema kätetöö üldsusele kättesaadavaks", kirjutas Adele Bloch-Bauer paar aastat pärast kunstniku lahkumist (Klimt suri veebruaris 1918) Belvedere muuseumi direktorile ja soovis, et nende pere Klimti kollektsioon läheks muuseumile.
Six years before his death, Klimt had painted another portrait of Adele.	Kuus aasta enne surma oli Klimtil valminud Adelest teinegi portree.
In her testament as well (Adele died in February 1925), she asked that her husband leave her two portraits and four Klimt landscape paintings to the Austrian Gallery.	Ka oma testamendis (Adele lahkus veebruaris 1925) palus ta, et abikaasa jätaks tema kaks portreed ja neli Gustav Klimti maastikumaali Austria Galeriile.
She left her jewellery to her nieces Maria and Luise.	Oma ehted pärandas ta õetütardele Mariale ja Luisele.
A year after Klimt finished work on the “Austrian Mona Lisa,” the 17-year-odl Adolf Hitler had striven for admission to the Vienna fine Art Academy, but failed his drawing examination.	Aasta pärast seda, kui Klimt oli lõpetanud "Austria Mona Lisa", oli üritanud Viini Kaunite Kunstide Akadeemiasse pääseda 17aastane Adolf Hitler, aga kukkus joonistamiseksamil läbi.
Although Hitler’s later anti-Semitism is sometimes attributed to Jewish professors not admitting him to the academy, in fact none of his examiners was a Jew.	Kuigi mõnikord peetakse Hitleri hilisema antisemitismi põhjuseks seda, et juudi professorid teda akadeemiasse vastu ei võtnud, polnud ükski tema eksamineerijatest tegelikult juut.
In any case, the function of the Austrian Gallery mentioned in Maria’s will had changed markedly by 1939 – it was no important to find works from among Vienna’s richly endowed Jewish art collections that were to the liking of the Nazi Party.	Igatahes oli Maria testamendis viidatud Austria Galerii ülesanne 1939. aastaks märgatavalt muutunud - oluliseks oli saanud Viini rikkalikest juudi kunstikogudest natsiparteile meelepäraste tööde leidmine.
Some of the works in Adele’s home were suitable for Hitler’s personal art treasury, but not those of Klimt.	Hitleri isiklikku kunstivaramusse sobisid ka mõned Adele kodus olnud tööd, ent mitte Klimti omad.
Sixty years after the Nazi art heists, a 10-year-long court dispute between the Austrian government and the successors of the Bloch-Bauers began.	Kuuskümmend aastat pärast natside kunstirööve sai alguse kümneaastane kohtuvaidlus Austria valitsuse ja Bloch-Bauerite pärijate vahel.
Let it be noted here that while Kiss can be seen in Belvedere Castle in Vienna, a trip to New York’s Neue Galerie is required to see the depiction of Adele Bloch-Bauer in Lady in Gold.	Siinkohal olgu vaid märgitud, et kui "Suudlust" näeb Viinis Belvedere lossis, siis Adele Bloch-Bauerit kujutavat "Daami kullas" tuleb vaatama sõita New Yorgi Neue Galeriesse.
And before a trip to Vienna, read the abovementioned book.	Ja enne Viini sõitu lugeda läbi ka eelnimetatud raamat.
Even if you don’t plan to go see works by Klimt, after closing the book, at least my own emotions revolved around Nazi and Jewish themes more than the painting sold for 135 million dollars and the model Adele Bloch-Bauer.	Isegi siis, kui te Klimti töid vaatama minna ei plaani, sest vähemalt minu emotsioonid keerlesid pärast raamatu sulgemist rohkem natsi- ja juuditeema kui 135 miljoni dollari eest müüdud maali ja modell Adele Bloch-Bauer ümber.
Thus it is not so much a portrait but more of a story of the fate of a family – and a very moving story at that.	Seega mitte niivõrd portree, kui pigem suguvõsa saatuselugu - ja vägagi liigutav lugu.
The Bauer family tree reproduced at the start of the book made it significantly easier to orientate with regard to the events.	Märgatavalt hõlbustas sündmustes orienteerumist raamatu algul ära toodud Bauerite sugupuu.
17-year-old swimmer in Canada comes very close to Estonian record	17-aastane ujuja oli Kanadas väga lähedal Eesti rekordile
In the preliminary heat, Gold was very close to her personal record in the 200 m backstroke, with a time of 2:16.62.	Eelujumises oli Gold enda 200 m seliliujumise isiklikule rekordile väga lähedal ujudes 2.16,62.
The 17-year-old PB comes from just a week ago, when her time in the Canadian juniors championship was 2:16.58, Priit Aavik reports in his Swimming Blog.	Tippmark pärineb 17-aastasel piigal nädala tagusest ajast, kui Kanada juunioride meistrivõistlustel sai ajaks 2.16,58, vahendab Priit Aaviku Ujumisblogi.
Gold got the last, 10th berth in the A final.	Gold pääses viimasena ehk kümnendana A-finaali.
In the final, she covered the distance in a time of 2:15.76 for a solid seventh place with a new imposing personal best.	Finaalis läbis ta distantsi ajaga 2.15,76 ning saavutas tubli seitsmenda koha uue võimsa tippmargiga.
Gold was just over half a second off Alina Kendzior’s Estonian record (2:15.13).	Alina Kendziorile kuuluvast Eesti rekordist (2.15,13) jäi Goldi lahutama veidi üle poole sekundi.
In Estonia’s all-time rankings, Gold rose to third and her latest personal best is the fifth all-time Estonian result.	Eesti kõigi aegade edetabelis tõusis Gold kolmandaks ning tema värske isiklik tippmark on Eesti kõigi aegade viies tulemus.
At the adult championships of Canada, the young future hopeful will also start in the 100 m, 200 m and 400 m freestyle and 200 m and 400 m medleys.	Noor tulevikulootus on Kanada täiskasvanute meistrivõistlustel veel startimas 100 m, 200 m ja 400 m vabaltujumises ning 200 m- ja 400 m kompleksujumises.
Last week, the Canadian junior championships were held in Toronto, and Gold had successful starts there as well.	Möödunud nädalal toimusid Torontos Kanada juunioride meistrivõistlustel ning Gold tegi edukaid starte ka seal.
She won a silver medal in the 200 m freestyle with a time of 2:03.22.	Ta võitis 200 m vabaltujumises hõbemedali ajaga 2.03,22.
The last time the distance was swum so fast by an Estonian woman was in 2008.	Nii kiiresti ujuti seda distantsi eestlanna poolt viimati 2008 aastal.
Only the record-setting Estonian Elina Partõka has swum the distance faster than Gold.	Goldist kiiremini läbi aegade on Eestis seda distantsi ujunud vaid Eesti rekordinaine Elina Partõka.
The Estonian living in Canada also won a bronze in the 100 m freestyle with a superb personal best and a new Estonian season high mark of 56.66.	Kanadas elav eestlanna võitis veel pronksmedali 100 m vabaltujumises suurepärase isikliku rekordiga ning uue Eesti hooaja tippmargiga 56.66.
Kertu Ly Alnek, a year older than her, has swum the distance just one hundredth of a second faster.	Näiteks temast aasta vanem Kertu Ly Alnek on seda distantsi ujunud vaid ühe sajandiku võrra kiiremini.
She also set a person best in the 100 m backstroke relay, with a time of 1.03.69 as the starting swimmer.	Isikliku tippmargini jõudis ta veel 100 m seliliujumises saades teateujumise avavahetuses kirja aja 1.03,69.
In the event twice that distance, she only managed seventh, with a time of 2.17.31 in the final.	Poole pikemal distantsil saavutas ta alles seitsmenda koha, kui ujus finaalis 2.17,31.
Gold currently has the season’s best Estonian time in four different distances.	Gold on hetkel juhtimas Eesti hooaja edetabelit neljal erineval distantsil.
Donald Trump goes on holiday, critics sharpen their teeth	President Trump läheb puhkusele, kriitikud teritavad hambaid
Vacation season is here, which means relaxation for US President Donald Trump as well.	Puhkuste aeg on käes - see tähendab lõõgastust ka USA presidendile Donald Trumpile.
As Trump is one of the presidents who has taken the most days of holiday, critics are already sharpening their teeth.	Kuna Trump on aga siiani olnud üks enim puhkusepäevi välja võtnud president, teritavad kriitikud juba hambaid.
USA Today and CNN report that the president plans to spend his 17-day holiday at the golf club named after him in Bedminster, which is located in New Jersey.	USA Today ja CNNi teatel on presidendi plaanis 17-päevane puhkus veeta omanimelises golfiklubis Bedminsteris, mis asub New Jerseys.
Although the president’s holiday started yesterday, Trump’s opponents have been speaking out on the topic of the vacation for about a week now.	Kuigi presidendi puhkus algas eile, on Trumpi vastased puhkuse teemal sõna võtnud juba nädalajagu.
They criticize Trump for going on vacation too often.	Nad heidavad Trumpile ette liiga sagedat puhkamist.
Namely, the president is in the habit of spending the weekends in his villas in Florida, Virginia and New Jersey.	Nimelt on presidendil tavaks veeta nädalavahetuseti aega oma Florida, Virginia ja New Jersey villades.
By the way, Trump in his 196 days in office has not taken the most vacation time of any president.	Muuseas, Trump ei ole oma 196 ametipäeva jooksul kõige enam puhanud president.
For instance, George W. Bush had already taken 67 days of holiday y that time, and Barack Obama half as much as Trump – only 21 days.	Näiteks George W. Bush jõudis selle ajaga puhkusel olla juba 67 päeva, Barack Obama aga poole vähem kui Trump, vaid 21 päeva.
But Trump does tend to forget things quickly.	Küll aga kipuvad Trumpil asjad kiirelt ununema.
Just a few days after becoming president, Trump told 60 Minutes that he would not have time for long vacations during his term in office, as there is so much to be done.	Loetud päevad pärast presidendiks saamist ütles Trump saates "60 minutit", et pikkadeks puhkusteks tema ametaja jooksul aega ei jää, kuna väga palju on vaja ära teha.
Three years ago, he also expressed displeasure over Barack Obama’s vacations.	Samuti avaldas ta kolm aastat tagasi pahameelt Barack Obama puhkuse üle.
The now president wrote on Twitter back then: While Obama vacations, golfs, attends parties & jazz concerts, ISIS is chopping heads off of journalists."	Praegune president kirjutas toona Twitteris: "Sel ajal kui Obama on puhkusel, mängib golfi, käib pidudel ja džässkontsertidel, raiub ISIS ajakirjanikel päid otsast".
White House officials say a 17-day golf club visit isn’t really relaxing.	Valge Maja ametnike teatel ei ole 17-päevane golfiklubi külastus õieti mingi lõõgastus.
It is being official called a working vacation instead, during which Trump will have no time to read or other favourite activities.	Seda nimetatakse ametlikult hoopis tööpuhkuseks, mille jooksul pole Trumpil aega lugemiseks või muudeks meelistegevusteks.
In addition, there was said to be another reason for the working vacation.	Lisaks pidi tööpuhkusel olema ka teine põhjus.
Namely, the air conditioning ion the West Wing of the White House is being replaced and thus all staff had to move out.	Nimelt vahetatakse Valge Maja läänetiivas konditsioneerisüsteem välja ja seetõttu tuli kogu personalil sealt lahkuda.
The West Wing is where the Oval Office and other working areas for the present are located.	Läänetiivas asub ka Ovaalkabinet ning teised presidendi tööruumid.
